order_item_id,order_id,product_id,quantity,price_at_purchase
1,6550,1032,1,342.92
2,7324,1695,1,955.86
3,11952,1962,1,909.45
4,8938,1958,1,984.91
5,4238,1880,1,649.18
6,14235,672,1,695.76
7,10944,1,1,54.83
8,11075,827,1,320.24
9,13842,707,1,555.05
10,1126,1461,1,308.21
11,9699,566,1,901.42
12,3682,496,1,350.74
13,8310,204,1,957.72
14,6084,791,1,934.52
15,3161,1970,1,488.16
16,57,250,1,388.08
17,10706,164,1,321.96
18,11179,554,1,24.32
19,9585,1516,1,477.31
20,7661,904,1,53.1
21,1860,900,1,42.33
22,9492,1733,1,43.54
23,10454,1883,1,487.57
24,2853,716,1,44.45
25,51,1188,1,735.84
26,8481,1331,1,186.87
27,11997,1249,1,620.96
28,6792,781,1,812.89
29,8684,458,1,26.87
30,12854,205,1,827.86
31,7249,1983,1,333.81
32,9279,1014,1,241.51
33,6558,1319,1,316.05
34,5292,1378,1,123.95
35,7221,1157,1,782.15
36,8357,925,1,206.41
37,14041,1153,1,459.13
38,4657,1471,1,423.73
39,100,480,1,111.23
40,1802,1338,1,677.87
41,7789,375,1,465.42
42,3325,1920,1,475.69
43,2843,879,1,432.37
44,6400,182,1,947.32
45,11500,51,1,675.62
46,6897,1104,1,516.94
47,12382,1785,1,758.96
48,9976,1528,1,148.35
49,1809,173,1,628.97
50,5957,526,1,693.67
51,8450,550,1,721.84
52,14945,629,1,954.23
53,6813,904,1,913.78
54,12604,1389,1,507.4
55,1022,813,1,766.87
56,8662,717,1,122.74
57,14583,438,1,347.43
58,5606,366,1,314.02
59,6255,1418,1,26.88
60,14711,1347,1,394.39
61,9825,1479,1,630.44
62,10666,1067,1,386.69
63,14204,1242,1,405.54
64,4433,875,1,127.98
65,4050,1817,1,882.23
66,99,202,1,826.56
67,8827,659,1,422.47
68,7711,912,1,68.1
69,1036,468,1,854.47
70,7864,995,1,266.78
71,2235,1161,1,724.13
72,12274,463,1,730.52
73,12288,930,1,612.09
74,9367,429,1,508.83
75,4712,66,1,850.01
76,9791,1665,1,867.92
77,1424,48,1,52.13
78,7265,431,1,204.65
79,12572,309,1,762.91
80,1248,1351,1,41.84
81,8986,787,1,354.92
82,9748,1658,1,979.77
83,13222,1633,1,871.23
84,11479,632,1,990.41
85,1220,527,1,962.88
86,3619,1935,1,54.56
87,9813,1050,1,51.47
88,14800,1183,1,728.79
89,12770,1085,1,456.7
90,11725,498,1,638.45
91,14675,858,1,327.77
92,13133,1025,1,912.58
93,358,503,1,189.93
94,2244,1896,1,654.15
95,9399,1435,1,693.05
96,12581,575,1,733.15
97,8097,1261,1,935.29
98,12011,1424,1,836.12
99,12422,451,1,693.48
100,1504,176,1,695.96
101,12747,847,1,274.48
102,8445,1263,1,58.58
103,2111,1812,1,463.7
104,163,136,1,281.22
105,4385,1028,1,564.88
106,2233,1851,1,366.11
107,6485,347,1,369.88
108,10186,654,1,54.8
109,3986,783,1,791.36
110,11881,1753,1,331.96
111,4822,292,1,694.77
112,399,496,1,974.74
113,7464,707,1,623.7
114,4310,1709,1,554.63
115,6345,1104,1,126.97
116,14853,323,1,980.15
117,5053,1388,1,124.88
118,8658,1239,1,45.18
119,14941,605,1,405.58
120,11852,1662,1,696.82
121,6719,38,1,316.8
122,8836,267,1,913.09
123,1442,809,1,597.64
124,110,559,1,439.18
125,7440,1665,1,170.56
126,10364,688,1,646.55
127,805,1786,1,902.78
128,10816,1997,1,213.19
129,12195,1826,1,108.56
130,25,243,1,660.06
131,7022,566,1,921.78
132,11203,1457,1,962.27
133,10404,1320,1,283.22
134,12598,120,1,67.79
135,14612,1020,1,785.89
136,8811,383,1,326.87
137,11165,1023,1,681.06
138,8843,1435,1,751.15
139,13540,453,1,625.83
140,1519,29,1,991.71
141,11963,685,1,20.95
142,9297,1367,1,723.73
143,4795,505,1,419.09
144,2743,564,1,383.03
145,758,913,1,462.32
146,619,863,1,711.02
147,1895,1818,1,521.09
148,1863,65,1,690.08
149,1971,679,1,855.64
150,14965,990,1,668.39
151,13203,414,1,601.91
152,3237,1087,1,275.23
153,4317,995,1,750.78
154,6200,736,1,260.74
155,2060,1164,1,332.39
156,5192,230,1,390.76
157,2456,664,1,595.68
158,9613,131,1,978.68
159,4936,1022,1,672.59
160,9314,997,1,210.36
161,3024,730,1,828.39
162,11719,856,1,307.32
163,4994,1519,1,795.2
164,3118,718,1,92.9
165,12642,1231,1,189.3
166,4403,1356,1,307.27
167,11452,611,1,811.09
168,13117,1496,1,215.26
169,14701,1302,1,729.98
170,4496,1364,1,735.08
171,801,1092,1,288.47
172,12529,594,1,33.26
173,13304,55,1,487.73
174,10920,1465,1,173.15
175,14837,1361,1,928.09
176,5482,594,1,685.78
177,6076,529,1,94.58
178,12167,1319,1,228.54
179,8749,1042,1,627.19
180,12848,1407,1,944.88
181,6606,963,1,386.82
182,1341,147,1,225.59
183,9355,605,1,166.22
184,3934,516,1,237.73
185,12220,177,1,538.82
186,5135,89,1,464.03
187,5962,162,1,101.76
188,6520,1811,1,918.3
189,8385,1941,1,746.88
190,7319,659,1,748.08
191,14502,5,1,548.83
192,14058,1387,1,974.41
193,10023,652,1,338.36
194,11820,1422,1,158.26
195,4599,648,1,791.07
196,6660,1033,1,480.41
197,5814,1024,1,458.23
198,13995,854,1,110.03
199,2339,566,1,879.59
200,327,1130,1,622.32
201,3134,832,1,971.61
202,2034,434,1,416.78
203,7228,589,1,723.82
204,3777,1103,1,169.4
205,14350,1425,1,139.79
206,5177,1182,1,873.1
207,7399,1680,1,35.16
208,2311,364,1,644.95
209,3801,577,1,980.2
210,3794,1153,1,793.91
211,2973,383,1,439.5
212,7615,909,1,616.84
213,11586,1980,1,482.08
214,5848,762,1,710.99
215,1204,1696,1,762.11
216,10284,1619,1,845.49
217,10102,1005,1,714.15
218,9614,402,1,938.34
219,11784,489,1,191.38
220,7853,1350,1,80.33
221,11068,120,1,871.94
222,962,470,1,673.68
223,8727,1022,1,458.62
224,12243,1526,1,175.14
225,8707,1030,1,714.42
226,10390,737,1,583.19
227,7732,183,1,236.68
228,12466,773,1,724.06
229,12853,1173,1,653.71
230,1046,149,1,871.1
231,11460,302,1,999.24
232,13993,496,1,227.35
233,401,1097,1,345.94
234,6250,631,1,351.41
235,12533,797,1,250.58
236,14385,1382,1,347.17
237,8898,1022,1,171.03
238,14755,621,1,544.75
